,FullDesign,NFE,TargetRatioObjective,StiffnessObjective,FeasibilityScore,StabilityScore
147,001000000000000001001000010100000000,0,0.1998,-1.958004902632517e-05,0.6000000000000001,0.30000000000000016
156,101000001010000001000101101010001101,1487,2.2204460492503126e-17,-0.5491281446794382,1.0,0.8
161,100000001001000100000100011001000111,653,0.19670626610665187,-0.8351993287157173,0.4000000000000001,1.0
162,001110000000000001000100000000000000,0,0.1998,-2.2524292651039354e-05,1.0,0.30000000000000016
165,001010001010000001000001101000001001,0,0.1763509739729961,-0.23164765804332685,0.8,0.9
168,100100010000010000000000000000000100,0,0.1998,-1.8172924588352103e-05,0.4000000000000001,0.6000000000000001
169,000100010001000000000000000000010010,106,0.1998,-1.651325849642132e-05,0.4000000000000001,0.5000000000000001
172,000000000000100000010000100000000000,0,0.1998,-2.544750140538042e-05,0.8,0.30000000000000016
182,001000000010000001000100001000000000,0,0.1998,-2.995857752318031e-05,1.0,1.1102230246251563e-16
185,011000100010000001000000000001000010,0,0.1998,-1.4064688060602136e-05,0.6000000000000001,0.4000000000000001
186,101000001010000001000111100010001101,1520,2.2204460492503126e-17,-0.511031848804311,0.4000000000000001,0.8
187,000000000010000000011000000000000000,0,0.1998,-2.860789589814058e-05,1.0,1.1102230246251563e-16
189,101000001010000001000111000010001101,7123,0.0,-0.5429864253393667,0.4000000000000001,0.6000000000000001
190,100100001100000000001000100001000101,0,0.1998,-1.2850198210415519e-05,0.8,0.7000000000000001
196,100000001000100000100000000000000101,0,0.1998,-1.6525232340716492e-05,1.0,0.4000000000000001
197,000000000000100000000000010000100010,0,0.1998,-1.7201352744722524e-05,0.6000000000000001,0.5000000000000001
203,100010000000000000000100000001010100,0,0.1998,-1.8574366493716867e-05,0.8,0.7000000000000001
218,101000001010000001000101001010011101,1175,0.0,-0.5491281446794382,1.0,0.8
220,111100001010000001000101001010001101,746,0.048419093155687994,-0.6305260623892629,0.4000000000000001,0.8
228,000111000000000000000000001000100000,0,0.1998,-1.6856515414238293e-05,1.0,0.6000000000000001
234,101000001011000001000101001010001101,1316,4.440892098500625e-17,-0.5491281446794382,1.0,0.8
235,101110001010000001000101001010001101,611,0.033657571920220834,-0.5736432812576133,0.8,0.8
238,100000010000000000000001001000001100,0,0.1998,-1.913448068544906e-05,0.8,0.4000000000000001
241,000000000000000100100000010000000000,0,0.1998,-2.0517991006950906e-05,0.8,0.5000000000000001
